Numero,DataOcorrencia,DataFechoOperacional,Natureza,EstadoOcorrencia,Distrito,Concelho,Freguesia,Localidade,Latitude,Longitude,NumeroMeiosTerrestresEnvolvidos,NumeroOperacionaisTerrestresEnvolvidos,NumeroMeiosAereosEnvolvidos,NumeroOperacionaisAereosEnvolvidos,
2018170002683,01/02/2018 00:14:00,01/02/2018 03:55:00,Riscos Tecnológicos / Acidentes / Despiste,Encerrada,VILA REAL,MONTALEGRE,Chã,ALDEIA NOVA,"41,783819","-7,757836",2,4,0,0,
2018110023928,02/02/2018 17:28:00,02/02/2018 18:19:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Suicídio/Homicídio na forma tentada,Encerrada,LISBOA,CASCAIS,Alcabideche,MURCHES,"38,727808","-9,437127",2,4,0,0,
2018170002815,02/02/2018 13:30:00,02/02/2018 19:10:00,Riscos Mistos / Incêndios Rurais / Povoamento Florestal,Encerrada,VILA REAL,VALPAÇOS,Sonim e Barreiros,SONIM,"41,707428","-7,215117",5,18,1,6,
2018120002373,03/02/2018 21:19:00,,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Em Curso,PORTALEGRE,ELVAS,"Caia, São Pedro e Alcáçova",ELVAS,"38,882463871033","-7,16964499447314",1,3,0,0,
2018110024581,03/02/2018 16:21:00,03/02/2018 17:10:00,Protecção e Assistência a Pessoas e Bens / Intervenção em conflitos legais / Agressão/Violação,Encerrada,LISBOA,SINTRA,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",Portela de Sintra,"38,802309","-9,378629",2,4,0,0,
2018080004731,03/02/2018 10:43:00,,Riscos Mistos / Incêndios em Detritos / Detritos confinados,Em Resolução,FARO,FARO,Conceição e Estoi,Ferradeira,"37,050762","-7,896527",2,7,0,0,
2018130020143,04/02/2018 19:03:00,04/02/2018 20:15:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,FELGUEIRAS,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",MARGARIDE,"41,3657331388307","-8,20843330989949",1,2,0,0,
2018130019961,04/02/2018 13:10:00,04/02/2018 14:15:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,PORTO,VILA NOVA DE GAIA,Madalena,Madalena,"41,1063579548748","-8,64618158911446",1,3,0,0,
2018030009956,04/02/2018 03:06:00,04/02/2018 04:35:00,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação,Encerrada,BRAGA,AMARES,"Ferreiros, Prozelo e Besteiros","FERREIROS, PROZELO E BESTEIROS","41,6266565","-8,365459374",1,3,0,0,
2018110026105,05/02/2018 17:32:00,05/02/2018 19:14:59,Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma,Encerrada,LISBOA,SINTRA,Agualva e Mira-Sintra,Agualva-Cacém,"38,7689975863337","-9,28945686281544",0,0,0,0,
